fecha,Tipo de cambio FIX,Tasa de interés objetivo,UDIS
21/01/2008,7.5000,3.947370,10.9813
22/01/2008,7.5000,3.948240,10.9232
23/01/2008,7.5000,3.949110,10.9522
24/01/2008,7.5000,3.949980,10.8934
25/01/2008,7.5000,3.950851,10.8698
28/01/2008,7.5000,3.952874,10.8784
29/01/2008,7.5000,3.953549,10.8444
30/01/2008,7.5000,3.954224,10.8374
31/01/2008,7.5000,3.954899,10.8262
01/02/2008,7.5000,3.955575,10.8138
05/02/2008,7.5000,3.958277,10.8289
06/02/2008,7.5000,3.958952,10.8227
07/02/2008,7.5000,3.959628,10.8040
08/02/2008,7.5000,3.960304,10.7575
11/02/2008,7.5000,3.961782,10.7736
12/02/2008,7.5000,3.961908,10.7465
13/02/2008,7.5000,3.962033,10.7509
14/02/2008,7.5000,3.962159,10.7413
15/02/2008,7.5000,3.962285,10.7653
18/02/2008,7.5000,3.962662,10.7350
19/02/2008,7.5000,3.962787,10.7489
20/02/2008,7.5000,3.962913,10.7939
21/02/2008,7.5000,3.963039,10.7980
22/02/2008,7.5000,3.963164,10.7818
25/02/2008,7.5000,3.963541,10.7855
26/02/2008,7.5000,3.963898,10.7430
27/02/2008,7.5000,3.964254,10.7344
28/02/2008,7.5000,3.964611,10.6813
29/02/2008,7.5000,3.964968,10.7243
03/03/2008,7.5000,3.966038,10.7046
04/03/2008,7.5000,3.966395,10.7098
05/03/2008,7.5000,3.966751,10.6978
06/03/2008,7.5000,3.967108,10.7649
07/03/2008,7.5000,3.967465,10.8383
10/03/2008,7.5000,3.968536,10.8478
11/03/2008,7.5000,3.969314,10.7965
12/03/2008,7.5000,3.970092,10.7735
13/03/2008,7.5000,3.970870,10.7778
14/03/2008,7.5000,3.971649,10.7613
18/03/2008,7.5000,3.974764,10.7040
19/03/2008,7.5000,3.975543,10.6944
24/03/2008,7.5000,3.979441,10.6748
25/03/2008,7.5000,3.980222,10.6793
26/03/2008,7.5000,3.981407,10.6957
27/03/2008,7.5000,3.982592,10.6962
28/03/2008,7.5000,3.983778,10.6987
31/03/2008,7.5000,3.987338,10.6482
01/04/2008,7.5000,3.988525,10.5985
02/04/2008,7.5000,3.989713,10.5557
03/04/2008,7.5000,3.990901,10.5644
04/04/2008,7.5000,3.992089,10.5590
07/04/2008,7.5000,3.995656,10.5395
08/04/2008,7.5000,3.996846,10.5610
09/04/2008,7.5000,3.998036,10.5552
10/04/2008,7.5000,3.999226,10.5503
11/04/2008,7.5000,3.999751,10.5337
14/04/2008,7.5000,4.001327,10.4919
15/04/2008,7.5000,4.001853,10.4843
16/04/2008,7.5000,4.002378,10.4579
17/04/2008,7.5000,4.002904,10.4828
18/04/2008,7.5000,4.003429,10.4610
21/04/2008,7.5000,4.005007,10.5223
22/04/2008,7.5000,4.005533,10.5181
23/04/2008,7.5000,4.006059,10.4868
24/04/2008,7.5000,4.006585,10.4620
25/04/2008,7.5000,4.007111,10.4702
28/04/2008,7.5000,4.007582,10.4464
29/04/2008,7.5000,4.007739,10.5272
30/04/2008,7.5000,4.007896,10.5095
02/05/2008,7.5000,4.008210,10.4585
05/05/2008,7.5000,4.008681,10.4687
06/05/2008,7.5000,4.008838,10.4937
07/05/2008,7.5000,4.008996,10.5390
08/05/2008,7.5000,4.009153,10.5465
09/05/2008,7.5000,4.009310,10.5666
12/05/2008,7.5000,4.010220,10.5058
13/05/2008,7.5000,4.010597,10.4835
14/05/2008,7.5000,4.010974,10.4884
15/05/2008,7.5000,4.011351,10.4769
16/05/2008,7.5000,4.011728,10.4266
19/05/2008,7.5000,4.012858,10.3792
20/05/2008,7.5000,4.013236,10.4002
21/05/2008,7.5000,4.013613,10.3644
22/05/2008,7.5000,4.013990,10.3810
23/05/2008,7.5000,4.014367,10.4000
26/05/2008,7.5000,4.014457,10.3848
27/05/2008,7.5000,4.013792,10.3925
28/05/2008,7.5000,4.013128,10.3447
29/05/2008,7.5000,4.012464,10.3066
30/05/2008,7.5000,4.011800,10.3306
02/06/2008,7.5000,4.009809,10.3417
03/06/2008,7.5000,4.009145,10.2992
04/06/2008,7.5000,4.008482,10.3211
05/06/2008,7.5000,4.007819,10.3108
06/06/2008,7.5000,4.007155,10.3582
09/06/2008,7.5000,4.005166,10.3620
10/06/2008,7.5000,4.004504,10.3847
11/06/2008,7.5000,4.004964,10.4268
12/06/2008,7.5000,4.005424,10.3950
13/06/2008,7.5000,4.005885,10.3655
16/06/2008,7.5000,4.007267,10.3399
17/06/2008,7.5000,4.007727,10.3153
18/06/2008,7.5000,4.008188,10.2935
19/06/2008,7.5000,4.008649,10.3156
20/06/2008,7.7500,4.009110,10.2753
23/06/2008,7.7500,4.010492,10.3032
24/06/2008,7.7500,4.010953,10.3180
25/06/2008,7.7500,4.011414,10.2938
26/06/2008,7.7500,4.012176,10.2841
27/06/2008,7.7500,4.012937,10.3028
30/06/2008,7.7500,4.015222,10.3069
01/07/2008,7.7500,4.015984,10.3908
02/07/2008,7.7500,4.016746,10.3722
03/07/2008,7.7500,4.017509,10.3692
04/07/2008,7.7500,4.018271,10.3411
07/07/2008,7.7500,4.020559,10.3263
08/07/2008,7.7500,4.021322,10.3363
09/07/2008,7.7500,4.022085,10.2993
10/07/2008,7.7500,4.022849,10.3076
11/07/2008,7.7500,4.023077,10.3120
14/07/2008,7.7500,4.023761,10.2925
15/07/2008,7.7500,4.023990,10.3229
16/07/2008,7.7500,4.024218,10.2608
17/07/2008,7.7500,4.024446,10.2311
18/07/2008,8.0000,4.024674,10.2047
21/07/2008,8.0000,4.025359,10.1708
22/07/2008,8.0000,4.025588,10.1178
23/07/2008,8.0000,4.025816,10.0552
24/07/2008,8.0000,4.026044,10.0264
25/07/2008,8.0000,4.026273,10.0190
28/07/2008,8.0000,4.029160,10.0706
29/07/2008,8.0000,4.030123,10.0610
30/07/2008,8.0000,4.031086,10.0340
31/07/2008,8.0000,4.032050,10.0353
01/08/2008,8.0000,4.033013,9.9705
04/08/2008,8.0000,4.035906,9.9335
05/08/2008,8.0000,4.036870,9.9180
06/08/2008,8.0000,4.037835,9.9485
07/08/2008,8.0000,4.038800,9.9877
08/08/2008,8.0000,4.039765,10.1305
11/08/2008,8.0000,4.042401,10.1295
12/08/2008,8.0000,4.043106,10.1590
13/08/2008,8.0000,4.043811,10.1968
14/08/2008,8.0000,4.044517,10.1586
15/08/2008,8.2500,4.045222,10.1966
18/08/2008,8.2500,4.047339,10.1395
19/08/2008,8.2500,4.048045,10.1867
20/08/2008,8.2500,4.048751,10.1343
21/08/2008,8.2500,4.049457,10.1106
22/08/2008,8.2500,4.050163,10.0991
25/08/2008,8.2500,4.052283,10.1183
26/08/2008,8.2500,4.053063,10.1730
27/08/2008,8.2500,4.053843,10.1421
28/08/2008,8.2500,4.054624,10.1822
29/08/2008,8.2500,4.055404,10.2847
01/09/2008,8.2500,4.057748,10.3423
02/09/2008,8.2500,4.058529,10.3781
03/09/2008,8.2500,4.059310,10.3852
04/09/2008,8.2500,4.060092,10.4658
05/09/2008,8.2500,4.060874,10.5143
08/09/2008,8.2500,4.063220,10.4810
09/09/2008,8.2500,4.064002,10.5013
10/09/2008,8.2500,4.064785,10.5862
11/09/2008,8.2500,4.065527,10.6745
12/09/2008,8.2500,4.066270,10.5828
15/09/2008,8.2500,4.068499,10.7054
17/09/2008,8.2500,4.069985,10.8702
18/09/2008,8.2500,4.070728,10.8365
19/09/2008,8.2500,4.071472,10.6133
22/09/2008,8.2500,4.073704,10.5879
23/09/2008,8.2500,4.074448,10.7264
24/09/2008,8.2500,4.075192,10.7879
25/09/2008,8.2500,4.075936,10.7653
26/09/2008,8.2500,4.077123,10.7919
29/09/2008,8.2500,4.080687,10.9397
30/09/2008,8.2500,4.081875,10.9814
01/10/2008,8.2500,4.083064,10.9811
02/10/2008,8.2500,4.084253,11.1296
03/10/2008,8.2500,4.085443,11.1188
06/10/2008,8.2500,4.089013,11.7667
07/10/2008,8.2500,4.090204,12.1196
08/10/2008,8.2500,4.091395,13.0417
09/10/2008,8.2500,4.092587,12.4433
10/10/2008,8.2500,4.093779,13.0867
13/10/2008,8.2500,4.095499,12.3743
14/10/2008,8.2500,4.096072,12.3450
15/10/2008,8.2500,4.096646,12.7192
16/10/2008,8.2500,4.097219,13.0633
17/10/2008,8.2500,4.097793,12.8475
20/10/2008,8.2500,4.099515,12.7617
21/10/2008,8.2500,4.100089,13.1233
22/10/2008,8.2500,4.100663,13.5592
23/10/2008,8.2500,4.101237,13.5025
24/10/2008,8.2500,4.101812,13.4000
27/10/2008,8.2500,4.104878,13.3083
28/10/2008,8.2500,4.106125,13.3692
29/10/2008,8.2500,4.107371,12.9142
30/10/2008,8.2500,4.108619,12.8342
31/10/2008,8.2500,4.109866,12.7125
03/11/2008,8.2500,4.113612,12.7875
04/11/2008,8.2500,4.114861,12.4862
05/11/2008,8.2500,4.116111,12.6042
06/11/2008,8.2500,4.117361,12.9500
07/11/2008,8.2500,4.118611,12.8392
10/11/2008,8.2500,4.122364,12.7850
11/11/2008,8.2500,4.122848,12.9892
12/11/2008,8.2500,4.123331,13.0875
13/11/2008,8.2500,4.123815,13.1663
14/11/2008,8.2500,4.124298,13.0242
18/11/2008,8.2500,4.126233,13.1950
19/11/2008,8.2500,4.126717,13.1800
20/11/2008,8.2500,4.127201,13.5758
21/11/2008,8.2500,4.127685,13.9183
24/11/2008,8.2500,4.129137,13.4958
25/11/2008,8.2500,4.129621,13.3142
