Title,Book Type,Publish Date,Link to book
'Salem's Lot Illustrated Edition,Novel,"November 11th, 2005",https://stephenking.com/works//works/novel/salems-lot-illustrated-edition.html
'Salem's Lot,Limited Edition,October 2004,https://stephenking.com/works//works/limited/salems-lot.html
'Salem's Lot,Limited Edition,December 2014,https://stephenking.com/works//works/limited/salems-lot.html
'Salem's Lot,Novel,"October 17th, 1975",https://stephenking.com/works//works/novel/salems-lot.html
11/22/63,Novel,"November 8th, 2011",https://stephenking.com/works//works/novel/11-22-63.html
1408,Short Story,March 2002,https://stephenking.com/works//works/short/1408.html
1922,Short Story,November 2010,https://stephenking.com/works//works/short/1922.html
The 21st Pan Book of Horror Stories,Anthology,December 1979,https://stephenking.com/works//works/anthology/21st-pan-book-of-horror-stories.html
35 Scary Years with Stephen King,Interview,March 2009,https://stephenking.com/works//works/interview/35-scary-years-with-stephen-king.html
A Book of Horrors,Anthology,September 2011,https://stephenking.com/works//works/anthology/a-book-of-horrors.html
A Conversation with Stephen King,Interview,December 2003,https://stephenking.com/works//works/interview/a-conversation-with-stephen-king.html
A Death,Short Story,Uncollected,https://stephenking.com/works//works/short/a-death.html
A Face in the Crowd,Short Story,Uncollected,https://stephenking.com/works//works/short/a-face-in-the-crowd.html
A Fantasy Reader: The Seventh World Fantasy Convention Book,Anthology,October 1981,https://stephenking.com/works//works/anthology/a-fantasy-reader-the-seventh-world-fantasy-convention-book.html
A Good Marriage,Short Story,November 2010,https://stephenking.com/works//works/short/a-good-marriage.html
A New Introduction to John Fowles's The Collector,Essay,December 1999,https://stephenking.com/works//works/essay/a-new-introduction-to-john-fowless-the-collector.html
A Night at the Royal Festival Hall: Muriel Gray Interviews Stephen King,Interview,December 1999,https://stephenking.com/works//works/interview/a-night-at-the-royal-festival-hall-muriel-gray-interviews-stephen-king.html
A Very Tight Place,Novella,"May 1st, 2008",https://stephenking.com/works//works/novella/a-very-tight-place.html
Afterlife,Short Story,Uncollected,https://stephenking.com/works//works/short/afterlife.html
The Aftermath,Unpublished,1963,https://stephenking.com/works//works/unpublished/aftermath.html
All That You Love Will Be Carried Away,Short Story,March 2002,https://stephenking.com/works//works/short/all-that-you-love-will-be-carried-away.html
An Evening at the Billerica (Massachusetts) Library,Speech,"April 22nd, 1983",https://stephenking.com/works//works/speech/an-evening-at-the-billerica-(massachusetts)-library.html
An Evening with Stephen King,Speech,"March 30th, 1999",https://stephenking.com/works//works/speech/an-evening-with-stephen-king.html
An International Treasury of Mystery and Suspense,Anthology,October 1983,https://stephenking.com/works//works/anthology/an-international-treasury-of-mystery-and-suspense.html
